  File "D:\shivam\LUXSH-MAK-TD\AWOL\venv\Lib\site-packages\rest_framework\views.py", line 509, in dispatch
    response = self.handle_exception(exc)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\shivam\LUXSH-MAK-TD\AWOL\venv\Lib\site-packages\rest_framework\views.py", line 469, in handle_exception
    self.raise_uncaught_exception(exc)
  File "D:\shivam\LUXSH-MAK-TD\AWOL\venv\Lib\site-packages\rest_framework\views.py", line 480, in raise_uncaught_exception
    raise exc
  File "D:\shivam\LUXSH-MAK-TD\AWOL\venv\Lib\site-packages\rest_framework\views.py", line 506, in dispatch
    response = handler(request, *args, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\shivam\LUXSH-MAK-TD\AWOL\UAS\accounts\views.py", line 87, in post
    ip_address = request.Meta.get('REMOTE_ADDR','')
                 ^^^^^^^^^^^^
  File "D:\shivam\LUXSH-MAK-TD\AWOL\venv\Lib\site-packages\rest_framework\request.py", line 423, in __getattr__
    return self.__getattribute__(attr)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'Request' object has no attribute 'Meta'
ERROR 2025-03-07 23:02:32,395 basehttp "POST /accounts/api/login/ HTTP/1.1" 500 106612
INFO 2025-03-07 23:05:44,551 autoreload D:\shivam\LUXSH-MAK-TD\AWOL\UAS\accounts\views.py changed, reloading.
INFO 2025-03-07 23:05:46,135 autoreload Watching for file changes with StatReloader
INFO 2025-03-07 23:05:48,233 autoreload D:\shivam\LUXSH-MAK-TD\AWOL\UAS\accounts\views.py changed, reloading.
INFO 2025-03-07 23:05:49,301 autoreload Watching for file changes with StatReloader
INFO 2025-03-07 23:06:07,459 autoreload Watching for file changes with StatReloader
INFO 2025-03-07 23:06:11,437 basehttp "POST /accounts/api/login/ HTTP/1.1" 200 52
INFO 2025-03-07 23:08:42,976 autoreload Watching for file changes with StatReloader
ERROR 2025-03-07 23:08:46,493 log Internal Server Error: /accounts/api/login/
